cnae,descricao,secao,divisao,anexo,fator_r,pode_mei,risco_cgsim,veredito,orgaos_conselho,orgaos_setorial,debativel,confianca,motivos
"4741-5/00","COMÉRCIO VAREJISTA DE TINTAS E MATERIAIS PARA PINTURA","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4742-3/00","COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4743-1/00","COMÉRCIO VAREJISTA DE VIDROS","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4744-0/01","COMÉRCIO VAREJISTA DE FERRAGENS E FERRAMENTAS","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4744-0/02","COMÉRCIO VAREJISTA DE MADEIRA E ARTEFATOS","G","47","I","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4744-0/03","COMÉRCIO VAREJISTA DE MATERIAIS HIDRÁULICOS","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4744-0/04","COMÉRCIO VAREJISTA DE CAL, AREIA, PEDRA BRITADA, TIJOLOS E TELHAS","G","47","I","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4744-0/05","COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO NÃO ESPECIFICADOS ANTERIORMENTE","G","47","I","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4744-0/06","COMÉRCIO VAREJISTA DE PEDRAS PARA REVESTIMENTO","G","47","I","nao","nao","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4744-0/99","COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO EM GERAL","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4751-2/01","COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMÁTICA","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4751-2/02","RECARGA DE CARTUCHOS PARA EQUIPAMENTOS DE INFORMÁTICA","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4752-1/00","COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICAÇÃO","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4753-9/00","COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4754-7/01","COMÉRCIO VAREJISTA DE MÓVEIS","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4754-7/02","COMÉRCIO VAREJISTA DE ARTIGOS DE COLCHOARIA","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4754-7/03","COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4755-5/01","COMÉRCIO VAREJISTA DE TECIDOS","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4755-5/02","COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4755-5/03","COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4756-3/00","COMÉRCIO VAREJISTA ESPECIALIZADO DE INSTRUMENTOS MUSICAIS E ACESSÓRIOS","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4757-1/00","COMÉRCIO VAREJISTA ESPECIALIZADO DE PEÇAS E ACESSÓRIOS PARA APARELHOS ELETROELETRÔNICOS PARA USO DOMÉSTICO, EXCETO INFORMÁTICA E COMUNICAÇÃO","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4759-8/01","COMÉRCIO VAREJISTA DE ARTIGOS DE TAPEÇARIA, CORTINAS E PERSIANAS","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4759-8/99","COMÉRCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMÉSTICO NÃO ESPECIFICADOS ANTERIORMENTE","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4761-0/01","COMÉRCIO VAREJISTA DE LIVROS","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4761-0/02","COMÉRCIO VAREJISTA DE JORNAIS E REVISTAS","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4761-0/03","COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4762-8/00","COMÉRCIO VAREJISTA DE DISCOS, CDS, DVDS E FITAS","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4763-6/01","COMÉRCIO VAREJISTA DE BRINQUEDOS E ARTIGOS RECREATIVOS","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4763-6/02","COMÉRCIO VAREJISTA DE ARTIGOS ESPORTIVOS","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4763-6/03","COMÉRCIO VAREJISTA DE BICICLETAS E TRICICLOS; PEÇAS E ACESSÓRIOS","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4763-6/04","COMÉRCIO VAREJISTA DE ARTIGOS DE CAÇA, PESCA E CAMPING","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4763-6/05","COMÉRCIO VAREJISTA DE EMBARCAÇÕES E OUTROS VEÍCULOS RECREATIVOS; PEÇAS E ACESSÓRIOS","G","47","I","nao","nao","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4771-7/04","COMÉRCIO VAREJISTA DE MEDICAMENTOS VETERINÁRIOS","G","47","I","nao","nao","baixo_a","tato-registro","CRF (farmácia — medicamentos)","","","alta","conselho: CRF (farmácia — medicamentos)"
"4772-5/00","COMÉRCIO VAREJISTA DE COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4773-3/00","COMÉRCIO VAREJISTA DE ARTIGOS MÉDICOS E ORTOPÉDICOS","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4774-1/00","COMÉRCIO VAREJISTA DE ARTIGOS DE ÓPTICA","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4781-4/00","COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4782-2/01","COMÉRCIO VAREJISTA DE CALÇADOS","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4782-2/02","COMÉRCIO VAREJISTA DE ARTIGOS DE VIAGEM","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4783-1/02","COMÉRCIO VAREJISTA DE ARTIGOS DE RELOJOARIA","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4785-7/01","COMÉRCIO VAREJISTA DE ANTIGÜIDADES","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4785-7/99","COMÉRCIO VAREJISTA DE OUTROS ARTIGOS USADOS","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4789-0/01","COMÉRCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4789-0/02","COMÉRCIO VAREJISTA DE PLANTAS E FLORES NATURAIS","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4789-0/03","COMÉRCIO VAREJISTA DE OBJETOS DE ARTE","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4789-0/05","COMÉRCIO VAREJISTA DE PRODUTOS SANEANTES DOMISSANITÁRIOS","G","47","I","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4789-0/06","COMÉRCIO VAREJISTA DE FOGOS DE ARTIFÍCIO E ARTIGOS PIROTÉCNICOS","G","47","I","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4789-0/07","COMÉRCIO VAREJISTA DE EQUIPAMENTOS PARA ESCRITÓRIO","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4789-0/08","COMÉRCIO VAREJISTA DE ARTIGOS FOTOGRÁFICOS E PARA FILMAGEM","G","47","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"4789-0/09","COMÉRCIO VAREJISTA DE ARMAS E MUNIÇÕES","G","47","I","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"4789-0/99","COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE","G","47","I","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"5211-7/02","GUARDA MÓVEIS","H","52","III","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"5320-2/01","SERVIÇOS DE MALOTE NÃO REALIZADOS PELO CORREIO NACIONAL","H","53","III","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"5320-2/02","SERVIÇOS DE ENTREGA RÁPIDA","H","53","III","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"5510-8/01","HOTÉIS","I","55","III","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"5510-8/02","APART HOTÉIS","I","55","III","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"5510-8/03","MOTÉIS","I","55","III","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"5590-6/01","ALBERGUES, EXCETO ASSISTENCIAIS","I","55","III","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"5590-6/02","CAMPINGS","I","55","III","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"5590-6/03","PENSÕES(ALOJAMENTO)","I","55","III","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"5590-6/99","OUTROS ALOJAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE","I","55","III","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"5611-2/01","RESTAURANTES E SIMILARES","I","56","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"5611-2/03","LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES","I","56","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"5611-2/04","BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO","I","56","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"5620-1/01","FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA EMPRESAS","I","56","I","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"5620-1/02","SERVIÇOS DE ALIMENTAÇÃO PARA EVENTOS E RECEPÇÕES - BUFÊ","I","56","I/III","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"5620-1/03","CANTINAS - SERVIÇOS DE ALIMENTAÇÃO PRIVATIVOS","I","56","I","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"5620-1/04","FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR","I","56","I","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"5811-5/00","EDIÇÃO DE LIVROS","J","58","I/III/V","sim","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"5812-3/01","EDIÇÃO DE JORNAIS DIÁRIOS","J","58","II/III/V","sim","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"5812-3/02","EDIÇÃO DE JORNAIS NÃO DIÁRIOS","J","58","II/III/V","sim","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"5813-1/00","EDIÇÃO DE REVISTAS","J","58","I/III/V","sim","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"5819-1/00","EDIÇÃO DE CADASTROS, LISTAS E DE OUTROS PRODUTOS GRÁFICOS","J","58","I/III/V","sim","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"5911-1/01","ESTÚDIOS CINEMATOGRÁFICOS","J","59","III","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"5911-1/02","PRODUÇÃO DE FILMES PARA PUBLICIDADE","J","59","III","nao","nao","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"5911-1/99","ATIVIDADES DE PRODUÇÃO CINEMATOGRÁFICA, DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO NÃO ESPECIFICADAS ANTERIORMENTE","J","59","III","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"5912-0/01","SERVIÇOS DE DUBLAGEM","J","59","III","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"5912-0/02","SERVIÇOS DE MIXAGEM SONORA EM PRODUÇÃO AUDIOVISUAL","J","59","III","nao","nao","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"5912-0/99","ATIVIDADES DE PÓS PRODUÇÃO CINEMATOGRÁFICA, DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO NÃO ESPECIFICADAS ANTERIORMENTE","J","59","III","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"5913-8/00","DISTRIBUIÇÃO CINEMATOGRÁFICA, DE VÍDEO E DE PROGRAMAS DE TELEVISÃO","J","59","I/III","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"5914-6/00","ATIVIDADES DE EXIBIÇÃO CINEMATOGRÁFICA","J","59","III","nao","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"5920-1/00","ATIVIDADES DE GRAVAÇÃO DE SOM E DE EDIÇÃO DE MÚSICA","J","59","III","nao","nao","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"6201-5/01","DESENVOLVIMENTO DE PROGRAMAS DE COMPUTADOR SOB ENCOMENDA","J","62","III/V","sim","nao","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"6201-5/02","WEB DESIGN","J","62","III/V","sim","nao","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"6202-3/00","DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR CUSTOMIZÁVEIS","J","62","III/V","sim","nao","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"6203-1/00","DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR NÃO CUSTOMIZÁVEIS","J","62","III/V","sim","nao","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"6204-0/00","CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO","J","62","III/V","sim","nao","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"6209-1/00","SUPORTE TÉCNICO, MANUTENÇÃO E OUTROS SERVIÇOS EM TECNOLOGIA DA INFORMAÇÃO","J","62","III/V","sim","nao","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"6311-9/00","TRATAMENTO DE DADOS, PROVEDORES DE SERVIÇOS DE APLICAÇÃO E SERVIÇOS DE HOSPEDAGEM NA INTERNET","J","63","III/V","sim","nao","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"6319-4/00","PORTAIS, PROVEDORES DE CONTEÚDO E OUTROS SERVIÇOS DE INFORMAÇÃO NA INTERNET","J","63","III/V","sim","nao","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"6391-7/00","AGÊNCIAS DE NOTÍCIAS","J","63","III","nao","nao","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"6399-2/00","OUTRAS ATIVIDADES DE PRESTAÇÃO DE SERVIÇOS DE INFORMAÇÃO NÃO ESPECIFICADAS ANTERIORMENTE","J","63","III","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"6612-6/05","AGENTES DE INVESTIMENTOS EM APLICAÇÕES FINANCEIRAS","K","66","","nao","nao","nao_listado","tato-registro","","Bacen/CVM/SUSEP (financeiro/seguros)","","alta","setorial: Bacen/CVM/SUSEP (financeiro/seguros)"
"6619-3/02","CORRESPONDENTES DE INSTITUIÇÕES FINANCEIRAS","K","66","III/V","sim","nao","nao_listado","tato-registro","","Bacen/CVM/SUSEP (financeiro/seguros)","","alta","setorial: Bacen/CVM/SUSEP (financeiro/seguros)"
"6621-5/01","PERITOS E AVALIADORES DE SEGUROS","K","66","III/V","sim","nao","baixo_a","tato-registro","","Bacen/CVM/SUSEP (financeiro/seguros)","","alta","setorial: Bacen/CVM/SUSEP (financeiro/seguros)"
"6621-5/02","AUDITORIA E CONSULTORIA ATUARIAL","K","66","III/V","sim","nao","baixo_a","tato-registro","","Bacen/CVM/SUSEP (financeiro/seguros)","","alta","setorial: Bacen/CVM/SUSEP (financeiro/seguros)"
"6622-3/00","CORRETORES E AGENTES DE SEGUROS, DE PLANOS DE PREVIDÊNCIA COMPLEMENTAR E DE SAÚDE","K","66","III/V","sim","nao","nao_listado","tato-registro","","Bacen/CVM/SUSEP (financeiro/seguros)","","alta","setorial: Bacen/CVM/SUSEP (financeiro/seguros)"
"6629-1/00","ATIVIDADES AUXILIARES DOS SEGUROS, DA PREVIDÊNCIA COMPLEMENTAR E DOS PLANOS DE SAÚDE NÃO ESPECIFICADAS ANTERIORMENTE","K","66","III/V","sim","nao","nao_listado","tato-registro","","Bacen/CVM/SUSEP (financeiro/seguros)","","alta","setorial: Bacen/CVM/SUSEP (financeiro/seguros)"
"6821-8/01","CORRETAGEM NA COMPRA E VENDA E AVALIAÇÃO DE IMÓVEIS","L","68","III/V","sim","nao","baixo_a","tato-registro","CRECI (corretor imóveis)","","","alta","conselho: CRECI (corretor imóveis)"
"6821-8/02","CORRETAGEM NO ALUGUEL DE IMÓVEIS","L","68","III","nao","nao","baixo_a","tato-registro","CRECI (corretor imóveis)","","","alta","conselho: CRECI (corretor imóveis)"
"6822-6/00","GESTÃO E ADMINISTRAÇÃO DA PROPRIEDADE IMOBILIARIA","L","68","III/V","sim","nao","baixo_a","tato-registro","CRECI (corretor imóveis)","","","alta","conselho: CRECI (corretor imóveis)"
"6911-7/01","SERVIÇOS ADVOCATÍCIOS","M","69","IV","nao","nao","baixo_a","tato-registro","OAB / INPI (jurídico)","","","alta","conselho: OAB / INPI (jurídico)"
"6911-7/02","ATIVIDADES AUXILIARES DA JUSTIÇA","M","69","","nao","nao","baixo_a","tato-registro","OAB / INPI (jurídico)","","","alta","conselho: OAB / INPI (jurídico)"
"6911-7/03","AGENTE DE PROPRIEDADE INDUSTRIAL","M","69","III/V","sim","nao","nao_listado","tato-registro","OAB / INPI (jurídico)","","","alta","conselho: OAB / INPI (jurídico)"
"7020-4/00","ATIVIDADES DE CONSULTORIA EM GESTÃO EMPRESARIAL, EXCETO CONSULTORIA TÉCNICA ESPECÍFICA","M","70","III/V","sim","nao","baixo_a","liso","","","CRA/CORECON (consultoria — debatível, não bloqueia)","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"7111-1/00","SERVIÇOS DE ARQUITETURA","M","71","III/V","sim","nao","baixo_a","tato-registro","CREA/CAU (engenharia/arquitetura)","","","alta","conselho: CREA/CAU (engenharia/arquitetura)"
"7112-0/00","SERVIÇOS DE ENGENHARIA","M","71","III/V","sim","nao","baixo_a","tato-registro","CREA/CAU (engenharia/arquitetura)","","","alta","conselho: CREA/CAU (engenharia/arquitetura)"
"7119-7/01","SERVIÇOS DE CARTOGRAFIA, TOPOGRAFIA E GEODÉSIA","M","71","III/V","sim","nao","baixo_a","tato-registro","CREA/CAU (engenharia/arquitetura)","","","alta","conselho: CREA/CAU (engenharia/arquitetura)"
"7119-7/02","ATIVIDADES DE ESTUDOS GEOLÓGICOS","M","71","III/V","sim","nao","baixo_a","tato-registro","CREA/CAU (engenharia/arquitetura)","","","alta","conselho: CREA/CAU (engenharia/arquitetura)"
"7119-7/03","SERVIÇOS DE DESENHO TÉCNICO RELACIONADOS À ARQUITETURA E ENGENHARIA","M","71","III/V","sim","nao","baixo_a","tato-registro","CREA/CAU (engenharia/arquitetura)","","","alta","conselho: CREA/CAU (engenharia/arquitetura)"
"7119-7/04","SERVIÇOS DE PERÍCIA TÉCNICA RELACIONADOS À SEGURANÇA DO TRABALHO","M","71","III/V","sim","nao","nao_listado","tato-registro","CREA/CAU (engenharia/arquitetura)","","","alta","conselho: CREA/CAU (engenharia/arquitetura)"
"7119-7/99","ATIVIDADES TÉCNICAS RELACIONADAS À ENGENHARIA E ARQUITETURA NÃO ESPECIFICADAS ANTERIORMENTE","M","71","III/V","sim","nao","baixo_a","tato-registro","CREA/CAU (engenharia/arquitetura)","","","alta","conselho: CREA/CAU (engenharia/arquitetura)"
"7120-1/00","TESTES E ANÁLISES TÉCNICAS","M","71","III/V","sim","nao","baixo_a","tato-registro","CREA/CAU (engenharia/arquitetura)","","","alta","conselho: CREA/CAU (engenharia/arquitetura)"
"7210-0/00","PESQUISA E DESENVOLVIMENTO EXPERIMENTAL EM CIÊNCIAS FÍSICAS E NATURAIS","M","72","III/V","sim","nao","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"7220-7/00","PESQUISA E DESENVOLVIMENTO EXPERIMENTAL EM CIÊNCIAS SOCIAIS E HUMANAS","M","72","III/V","sim","nao","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"7311-4/00","AGÊNCIAS DE PUBLICIDADE","M","73","III/V","sim","nao","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"7312-2/00","AGENCIAMENTO DE ESPAÇOS PARA PUBLICIDADE, EXCETO EM VEÍCULOS DE COMUNICAÇÃO","M","73","III/V","sim","nao","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"7319-0/01","CRIAÇÃO ESTANDES PARA FEIRAS E EXPOSIÇÕES","M","73","III/V","sim","nao","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"7319-0/02","PROMOÇÃO DE VENDAS","M","73","III","nao","sim","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"7319-0/03","MARKETING DIRETO","M","73","III","nao","nao","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"7319-0/04","CONSULTORIA EM PUBLICIDADE","M","73","III/V","sim","nao","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"7319-0/99","OUTRAS ATIVIDADES DE PUBLICIDADE NÃO ESPECIFICADAS ANTERIORMENTE","M","73","III","nao","sim","nao_listado","verificar-licenciamento","","","","media","fora do baixo-risco-A CGSIM → licença municipal (médio provisório OU alto vistoria; nível é municipal/BH)"
"7320-3/00","PESQUISAS DE MERCADO E DE OPINIÃO PÚBLICA","M","73","III/V","sim","nao","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"7410-2/02","DESIGN DE INTERIORES","M","74","III/IV/V","sim","nao","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
"7410-2/03","DESIGN DE PRODUTO","M","74","III/V","sim","nao","baixo_a","liso","","","","alta","baixo-risco-A CGSIM + sem conselho/setorial"
